"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2025-09-19,2026-04-07,"Engagement | Teddy | December | FB | IV",inactive,686,actions:post_engagement,4.50793003,20000,Lifetime,3092.44,4250,3624,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:14:23-0800,-,-,-,"Engagement | Teddy | December | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | 2026 | January | FB | I",inactive,1583,actions:post_engagement,3.48357549,20000,Lifetime,5514.5,13060,9316,2026-02-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-07T14:10:52-0800,-,-,-,"Engagement | Teddy | 2026 | January | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | 2026 | January | IG | I",inactive,421,actions:post_engagement,4.7711639,8000,Lifetime,2008.66,2321,1452,2026-02-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-07T14:11:54-0800,-,-,-,"Engagement | Teddy | 2026 | January | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | December | Tamil | FB | II",not_delivering,477,actions:post_engagement,4.58928721,7500,Lifetime,2189.09,4541,3273,2026-01-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Engagement | Teddy | December | Tamil"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Launch | Video | IG",inactive,49153,actions:post_engagement,0.23281346,20625,Lifetime,11443.48,115025,72153,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-22T20:42:30-0700,-,-,-,"Engagement | Teddy | September | Launch"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Teachers's Day |  FB",inactive,2339,actions:post_engagement,2.0819752,7500,Lifetime,4869.74,23197,13523,2025-10-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-05T21:26:08-0700,-,-,-,"Engagement | Teddy | September | Teachers's Day"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Teachers's Day |  IG",not_delivering,1292,actions:post_engagement,2.0344195,7500,Lifetime,2628.47,10822,6497,2025-10-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-05T21:26:08-0700,-,-,-,"Engagement | Teddy | September | Teachers's Day"
2025-09-19,2026-04-07,"Engagement | Teddy | September | I |  FB",inactive,1505,actions:post_engagement,2.39914286,7500,Lifetime,3610.71,15714,6847,2025-10-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-08T20:17:05-0700,-,-,-,"Engagement | Teddy | September | I"
2025-09-19,2026-04-07,"Engagement | Teddy | September | I | IG",inactive,1678,actions:post_engagement,2.31727652,7500,Lifetime,3888.39,14333,6476,2025-10-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-08T20:17:05-0700,-,-,-,"Engagement | Teddy | September | I"
2025-09-19,2026-04-07,"Engagement | Teddy | September | II |  FB",inactive,1419,actions:post_engagement,3.69433404,7500,Lifetime,5242.26,10670,5762,2025-10-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-17T12:42:23-0700,-,-,-,"Engagement | Teddy | September | II"
2025-09-19,2026-04-07,"Engagement | Teddy | September | II | IG",not_delivering,656,actions:post_engagement,3.43795732,7500,Lifetime,2255.3,5277,3191,2025-10-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-17T12:42:23-0700,-,-,-,"Engagement | Teddy | September | II"
2025-09-19,2026-04-07,"Engagement | Teddy | September | III |  FB",not_delivering,6583,actions:post_engagement,0.43436883,7500,Lifetime,2859.45,12099,10142,2025-10-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-24T01:37:07-0700,-,-,-,"Engagement | Teddy | September | III"
2025-09-19,2026-04-07,"Engagement | Teddy | September | III | IG",inactive,11993,actions:post_engagement,0.38693821,7500,Lifetime,4640.55,21404,14746,2025-10-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-24T01:37:07-0700,-,-,-,"Engagement | Teddy | September | III"
2025-09-19,2026-04-07,"Engagement | Teddy | November | FB | I",inactive,1166,actions:post_engagement,2.75187822,20000,Lifetime,3208.69,11344,6301,2026-01-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-05T22:53:20-0800,-,-,-,"Engagement | Teddy | November | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | November | IG | I",inactive,712,actions:post_engagement,5.42294944,15000,Lifetime,3861.14,5495,2118,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:11:46-0800,-,-,-,"Engagement | Teddy | November | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | November | IG | II",not_delivering,351,actions:post_engagement,5.70512821,15000,Lifetime,2002.5,4126,2768,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:11:46-0800,-,-,-,"Engagement | Teddy | November | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | November | IG | III",not_delivering,359,actions:post_engagement,6.22047354,15000,Lifetime,2233.15,4348,3200,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:11:46-0800,-,-,-,"Engagement | Teddy | November | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | November | FB | II",inactive,555,actions:post_engagement,6.07540541,20000,Lifetime,3371.85,24211,22936,2026-01-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-05T22:53:20-0800,-,-,-,"Engagement | Teddy | November | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | November | FB | III",inactive,633,actions:post_engagement,4.77947867,20000,Lifetime,3025.41,21927,20333,2026-01-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-05T22:53:20-0800,-,-,-,"Engagement | Teddy | November | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | November | FB | IV",inactive,1382,actions:post_engagement,2.18485528,20000,Lifetime,3019.47,24345,14096,2026-01-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-05T22:53:20-0800,-,-,-,"Engagement | Teddy | November | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | November | IG | IV",not_delivering,490,actions:post_engagement,8.55526531,15000,Lifetime,4192.08,7196,5137,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:11:46-0800,-,-,-,"Engagement | Teddy | November | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | December | Christmas |  FB | I",inactive,2542,actions:post_engagement,1.29215578,15000,Lifetime,3284.66,19986,17575,2025-12-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T09:25:51-0800,-,-,-,"Engagement | Teddy | December | Christmas"
2025-09-19,2026-04-07,"Engagement | Teddy | December | Christmas |  FB | II",inactive,761,actions:post_engagement,4.04720105,15000,Lifetime,3079.92,5235,4213,2025-12-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T09:25:51-0800,-,-,-,"Engagement | Teddy | December | Christmas"
2025-09-19,2026-04-07,"Engagement | Teddy | December | Christmas |  IG | I",inactive,2577,actions:post_engagement,1.32972449,15000,Lifetime,3426.7,19804,16881,2025-12-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T09:25:51-0800,-,-,-,"Engagement | Teddy | December | Christmas"
2025-09-19,2026-04-07,"Engagement | Teddy | December | Christmas |  IG | II",inactive,768,actions:post_engagement,3.97227865,15000,Lifetime,3050.71,5503,4384,2025-12-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T09:25:51-0800,-,-,-,"Engagement | Teddy | December | Christmas"
2025-09-19,2026-04-07,"Engagement | Teddy | December | FB | I",inactive,795,actions:post_engagement,2.7587673,20000,Lifetime,2193.22,10989,9888,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:14:23-0800,-,-,-,"Engagement | Teddy | December | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | December | FB | II",inactive,729,actions:post_engagement,2.8240192,20000,Lifetime,2058.71,6599,5653,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:14:23-0800,-,-,-,"Engagement | Teddy | December | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | December | IG| II",inactive,632,actions:post_engagement,3.95830696,10000,Lifetime,2501.65,5177,3627,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:13:31-0800,-,-,-,"Engagement | Teddy | December | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | December | IG | I",inactive,719,actions:post_engagement,3.50130737,10000,Lifetime,2517.44,5835,4202,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:13:31-0800,-,-,-,"Engagement | Teddy | December | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Launch | Static",not_delivering,3,actions:post_engagement,3.94,20625,Lifetime,11.82,23,22,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-22T20:42:30-0700,-,-,-,"Engagement | Teddy | September | Launch"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Launch | Video | FB",inactive,44653,actions:post_engagement,0.20535462,20625,Lifetime,9169.7,103279,59941,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-22T20:42:30-0700,-,-,-,"Engagement | Teddy | September | Launch"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | IG | I",not_delivering,38418,video_thruplay_watched_actions,0.39939273,22000,Lifetime,15343.87,102001,84403,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,Average,"Below average – bottom 35% of ads",Average,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | FB | I",not_delivering,9962,video_thruplay_watched_actions,0.67088035,7000,Lifetime,6683.31,13355,9187,2026-02-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-17T19:41:07-0800,-,-,-,"Video Views | Teddy  | February | Valentine"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | IG | I",not_delivering,473,video_thruplay_watched_actions,0.6615222,7000,Lifetime,312.9,764,657,2026-02-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-17T19:41:07-0800,-,-,-,"Video Views | Teddy  | February | Valentine"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | FB | II",not_delivering,834,video_thruplay_watched_actions,0.56767386,22000,Lifetime,473.44,1718,1677,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,-,-,-,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | IG | II",not_delivering,19,video_thruplay_watched_actions,0.54947368,22000,Lifetime,10.44,47,45,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,-,-,-,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | FB | III",not_delivering,847,video_thruplay_watched_actions,0.39165289,22000,Lifetime,331.73,2045,2026,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,-,-,-,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | IG | III",inactive,6213,video_thruplay_watched_actions,0.40532593,22000,Lifetime,2518.29,15667,14366,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,Average,"Below average – bottom 35% of ads","Above average","Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | IG | I",not_delivering,11710,video_thruplay_watched_actions,0.47141674,16000,Lifetime,5520.29,33455,28601,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-09T00:40:34-0700,Average,"Below average – bottom 35% of ads","Below average – bottom 35% of ads","Video Views | Teddy  | February"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | FB | I",inactive,11207,video_thruplay_watched_actions,0.45205586,16000,Lifetime,5066.19,32389,28641,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-09T00:40:34-0700,Average,"Below average – bottom 35% of ads",Average,"Video Views | Teddy  | February"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | FB | II",inactive,10033,video_thruplay_watched_actions,0.50427689,16000,Lifetime,5059.41,37526,32281,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-09T00:40:34-0700,Average,Average,"Below average – bottom 35% of ads","Video Views | Teddy  | February"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | IG | II",not_delivering,672,video_thruplay_watched_actions,0.5205506,16000,Lifetime,349.81,2170,2096,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-09T00:40:34-0700,-,-,-,"Video Views | Teddy  | February"
2025-09-19,2026-04-07,"Video Views | Teddy | April | FB | I",active,12968,video_thruplay_watched_actions,0.45716919,48000,Lifetime,5928.57,63370,59265,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,"Above average","Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | IG | I",active,16487,video_thruplay_watched_actions,0.41151513,48000,Lifetime,6784.65,68149,61001,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,"Above average","Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | FB | II",active,537,video_thruplay_watched_actions,0.82268156,48000,Lifetime,441.78,1892,1813,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,"Below average – bottom 35% of ads","Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | FB | III",active,2019,video_thruplay_watched_actions,0.80499257,48000,Lifetime,1625.28,12423,11997,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,Average,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | FB | IV",active,185,video_thruplay_watched_actions,0.68681081,48000,Lifetime,127.06,426,426,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,-,-,-,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | FB | V",active,219,video_thruplay_watched_actions,0.87835616,48000,Lifetime,192.36,599,589,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,-,-,-,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | FB | VI",active,632,video_thruplay_watched_actions,0.97552215,48000,Lifetime,616.53,2685,2623,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,Average,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | IG | II",active,365,video_thruplay_watched_actions,0.73449315,48000,Lifetime,268.09,2030,1953,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,"Below average – bottom 35% of ads",Average,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | IG | III",active,1464,video_thruplay_watched_actions,0.87519126,48000,Lifetime,1281.28,8579,8572,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,"Below average – bottom 35% of ads",Average,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | IG | IV",active,663,video_thruplay_watched_actions,0.91280543,48000,Lifetime,605.19,2300,2300,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,"Below average – bottom 35% of ads","Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | IG | V",active,103,video_thruplay_watched_actions,1.75417476,48000,Lifetime,180.68,1312,1253,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,Average,Average,Average,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy | April | IG | VI",active,1,video_thruplay_watched_actions,1,48000,Lifetime,1,9,9,2026-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-27T01:52:18-0700,-,-,-,"Video Views | Teddy | April"
2025-09-19,2026-04-07,"Video Views | Teddy  | September | Launch | FB",inactive,98229,video_thruplay_watched_actions,0.51285231,60000,Lifetime,50376.97,109349,56507,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-24T19:38:20-0700,-,-,-,"Video Views | Teddy  | September | Launch"
2025-09-19,2026-04-07,"Video Views | Teddy  | September | Launch | IG",inactive,18019,video_thruplay_watched_actions,0.530313,60000,Lifetime,9555.71,19599,11137,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-24T19:38:20-0700,-,-,-,"Video Views | Teddy  | September | Launch"
2025-09-19,2026-04-07,"Video Views | Teddy  | December | New Year 2026 | IG",inactive,5453,video_thruplay_watched_actions,0.58508161,10000,Lifetime,3190.45,7701,4920,2026-01-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T10:30:55-0800,-,-,-,"Video Views | Teddy  | December | New Year 2026"
2025-09-19,2026-04-07,"Video Views | Teddy  | December | New Year 2026 | FB",inactive,5252,video_thruplay_watched_actions,0.58078827,10000,Lifetime,3050.3,8932,7363,2026-01-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T10:30:55-0800,-,-,-,"Video Views | Teddy  | December | New Year 2026"
2025-09-19,2026-04-07,"Video Views | Teddy  | November | FB |  I",inactive,5026,video_thruplay_watched_actions,0.60977318,24000,Lifetime,3064.72,6772,4576,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:12:47-0800,-,-,-,"Video Views | Teddy  | November"
2025-09-19,2026-04-07,"Video Views | Teddy  | November | FB |  II",inactive,7021,video_thruplay_watched_actions,0.44182453,24000,Lifetime,3102.05,19589,16637,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:12:47-0800,-,-,-,"Video Views | Teddy  | November"
2025-09-19,2026-04-07,"Video Views | Teddy  | November | IG|  I",not_delivering,3262,video_thruplay_watched_actions,0.62785714,24000,Lifetime,2048.07,5548,3481,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:12:47-0800,-,-,-,"Video Views | Teddy  | November"
2025-09-19,2026-04-07,"Video Views | Teddy  | November | IG|  II",not_delivering,17027,video_thruplay_watched_actions,0.38480237,24000,Lifetime,6552.03,40329,36186,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:12:47-0800,-,-,-,"Video Views | Teddy  | November"
2025-09-19,2026-04-07,"Video Views | Teddy  | November | FB |  III",inactive,5250,video_thruplay_watched_actions,0.6045619,24000,Lifetime,3173.95,10938,9807,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:12:47-0800,-,-,-,"Video Views | Teddy  | November"
2025-09-19,2026-04-07,"Video Views | Teddy  | November | IG|  III",inactive,5097,video_thruplay_watched_actions,0.60769276,24000,Lifetime,3097.41,11070,10374,2026-02-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:12:47-0800,-,-,-,"Video Views | Teddy  | November"
2025-09-19,2026-04-07,"Video Views | Teddy  | December | FB | I",not_delivering,8441,video_thruplay_watched_actions,0.52918138,67000,Lifetime,4466.82,19356,18053,2026-02-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T11:46:22-0800,-,-,-,"Video Views | Teddy  | December"
2025-09-19,2026-04-07,"Video Views | Teddy  | December | FB | II",not_delivering,50927,video_thruplay_watched_actions,0.40181318,67000,Lifetime,20463.14,149377,121609,2026-02-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T11:46:22-0800,-,-,-,"Video Views | Teddy  | December"
2025-09-19,2026-04-07,"Video Views | Teddy  | December | IG | I",not_delivering,50244,video_thruplay_watched_actions,0.52483719,67000,Lifetime,26369.92,118950,97399,2026-02-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T11:46:22-0800,-,-,-,"Video Views | Teddy  | December"
2025-09-19,2026-04-07,"Video Views | Teddy | December | IG | II",not_delivering,38512,video_thruplay_watched_actions,0.40763087,67000,Lifetime,15698.68,121082,99610,2026-02-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T11:46:22-0800,-,-,-,"Video Views | Teddy  | December"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | FB | I",not_delivering,6836,video_thruplay_watched_actions,0.48059977,22000,Lifetime,3285.38,28179,26209,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,-,-,-,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Traffic | Teddy | March | Tamil | FB | I",not_delivering,108,actions:link_click,3.31601852,15000,Lifetime,358.13,7181,6342,2026-03-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-07T20:56:44-0800,"Above average","Below average – bottom 35% of ads",Average,"Traffic | Teddy | March | Tamil"
2025-09-19,2026-04-07,"Traffic | Teddy | March | Tamil | IG | I",not_delivering,4576,actions:link_click,2.40074956,15000,Lifetime,10985.83,265885,125231,2026-03-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-07T20:56:44-0800,"Above average","Below average – bottom 35% of ads",Average,"Traffic | Teddy | March | Tamil"
2025-09-19,2026-04-07,"Traffic | Teddy | March | FB | I",not_delivering,36,actions:omni_landing_page_view,18.57083333,30000,Lifetime,668.55,5723,4290,2026-03-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T23:05:46-0700,"Above average","Above average","Below average – bottom 35% of ads","Traffic | Teddy | March"
2025-09-19,2026-04-07,"Traffic | Teddy | March | IG | I",not_delivering,417,actions:omni_landing_page_view,13.31472422,30000,Lifetime,5552.24,50048,23156,2026-03-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T23:05:46-0700,Average,Average,"Below average – bottom 35% of ads","Traffic | Teddy | March"
2025-09-19,2026-04-07,"Traffic | Teddy | March | FB | II",not_delivering,458,actions:omni_landing_page_view,15.89056769,30000,Lifetime,7277.88,60585,31175,2026-03-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T23:05:46-0700,"Above average","Above average","Below average – bottom 35% of ads","Traffic | Teddy | March"
2025-09-19,2026-04-07,"Traffic | Teddy | March | IG | II",not_delivering,649,actions:omni_landing_page_view,13.38733436,30000,Lifetime,8688.38,89055,41182,2026-03-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T23:05:46-0700,"Above average","Above average","Below average – bottom 20% of ads","Traffic | Teddy | March"
